"","GenoID_RAD","Tag_Date","Tag_ID","Length","Weight","Fin_Clip_Number","Comment","Tank","Treatment","collector","Smolt_Assessment","SA_date","FL","WT","SI_text","SI_code","Tank.1","Tech","SWC_PIT","SWC_mort_14_day","Mort_Date","SWC_Tank","SWC_FL","X48_hr_SWC_mort"
"1","L01_1","12/7/20","3D6.1D59592AD6",157,48.3,1,NA,14,"EW","jeff","3D6.1D59592AD6","4/20/21",210,114.4,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"2","L01_9","12/7/20","3D6.1D59592340",157,42.5,2,NA,14,"EW","jeff","3D6.1D59592340","4/20/21",219,108.8,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"3","L01_17","12/7/20","3D6.1D5958A118",150,44.6,3,NA,14,"EW","jeff","3D6.1D5958A118","4/20/21",211,114.8,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"4","L01_25","12/7/20","3D6.1D595923F1",114,17.2,4,NA,14,"EW","jeff","3D6.1D595923F1","4/20/21",184,66.1,"Smolt",3,14,"AM","3D6.1D595923F1",1,"5/5/21",34,180,1
"5","L01_33","12/7/20","3D6.1D5958556A",122,21.9,5,NA,14,"EW","jeff","3D6.1D5958556A","4/20/21",195,77.3,"Transitional",2,14,"AM","3D6.1D5958556A",1,"5/7/21",35,191,0
"6","L01_41","12/7/20","3D6.1D59591F7B",144,34.7,6,NA,14,"EW","jeff","3D6.1D59591F7B","4/20/21",201,95.9,"Transitional",2,14,"AM","3D6.1D59591F7B",1,"5/8/21",35,195,0
"7","L01_49","12/7/20","3D6.1D5958FF95",138,29.4,7,NA,14,"EW","jeff","3D6.1D5958FF95","4/20/21",203,94,"Transitional",2,14,"AM","3D6.1D5958FF95",1,"5/12/21",35,190,0
"8","L01_57","12/7/20","3D6.1D595931A8",163,54.4,8,NA,14,"EW","jeff","3D6.1D595931A8","4/20/21",229,133.2,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"9","L01_65","12/7/20","3D6.1D59592244",150,44.7,9,NA,14,"EW","jeff","3D6.1D59592244","4/20/21",224,148.5,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"10","L01_73","12/7/20","3D6.1D5959241D",161,50.6,10,NA,14,"EW","jeff","3D6.1D5959241D","4/20/21",233,148.2,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"11","L01_81","12/7/20","3D6.1D595391C0",88,9.1,11,NA,14,"EW","jeff","3D6.1D595391C0","4/20/21",235,150.8,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"12","L01_89","12/7/20","3D6.1D594D8084",154,44.8,12,NA,14,"EW","jeff","3D6.1D594D8084","4/20/21",220,124.6,"Smolt",3,14,"AM","3D6.1D594D8084",1,"5/8/21",34,219,0
"13","L01_2","12/7/20","3D6.1D5959005A",173,61.5,13,NA,14,"EW","jeff","3D6.1D5959005A","4/20/21",242,152.8,"Smolt",3,14,"AM","3D6.1D5959005A",1,"5/8/21",34,237,0
"14","L01_10","12/7/20","3D6.1D59586885",165,53.7,14,NA,14,"EW","jeff","3D6.1D59586885","4/20/21",218,127.5,"Transitional",2,14,"AM","3D6.1D59586885",1,"5/10/21",35,210,0
"15","L01_18","12/7/20","3D6.1D59590FB5",155,43.7,15,NA,14,"EW","jeff","3D6.1D59590FB5","4/20/21",213,103.6,"Smolt",3,14,"AM","3D6.1D59590FB5",1,"5/12/21",34,212,0
"16","L01_26","12/7/20","3D6.1D5958A251",159,47.9,16,NA,14,"EW","jeff","3D6.1D5958A251","4/20/21",236,132.3,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"17","L01_34","12/7/20","3D6.1D5958A92F",125,23.2,17,NA,14,"EW","jeff","3D6.1D5958A92F","4/20/21",191,77.1,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"18","L01_42","12/7/20","3D6.1D595926A8",154,43.7,18,NA,14,"EW","jeff","3D6.1D595926A8","4/20/21",213,111.2,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"19","L01_50","12/7/20","3D6.1D5958AF88",149,39.9,19,NA,14,"EW","jeff","3D6.1D5958AF88","4/20/21",218,117.8,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"20","L01_58","12/7/20","3D6.1D594D8DD2",161,48.8,20,NA,14,"EW","jeff","3D6.1D594D8DD2","4/20/21",195,78.7,"Smolt",3,14,"AM","3D6.1D594D8DD2",1,"5/6/21",35,191,0
"21","L01_66","12/7/20","3D6.1D59592913",120,19.5,21,NA,14,"EW","jeff","3D6.1D59592913","4/20/21",190,77.1,"Transitional",2,14,"AM",NA,0,NA,NA,NA,NA
"22","L01_82","12/7/20","3D6.1D59589617",130,25.6,23,NA,14,"EW","jeff","3D6.1D59589617","4/20/21",200,87.6,"Smolt",3,14,"AM",NA,0,NA,NA,NA,NA
"23","L01_90","12/7/20","3D6.1D59538F08",141,34,24,NA,14,"EW","jeff","3D6.1D59538F08","4/20/21",197,89.6,"Transitional",2,14,"AM","3D6.1D59538F08",1,"5/7/21",34,197,0
