"","GenoID_RAD","Tag_Date","Tag_ID","Length","Weight","Fin_Clip_Number","Comment","Tank","Treatment","collector","Smolt_Assessment","SA_date","FL","WT","SI_text","SI_code","Tank.1","Tech","SWC_PIT","SWC_mort_14_day","Mort_Date","SWC_Tank","SWC_FL","X48_hr_SWC_mort"
"1228","L15_84","12/8/20","3D6.1D59585AE2",72,4.1,1583,NA,7,"LC","jeff","3D6.1D59585AE2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"1229","L15_92","12/8/20","3D6.1D5958B037",76,4.9,1584,NA,7,"LC","jeff","3D6.1D5958B037","4/20/21",155,12,"Parr",1,7,"JA","3D6.1D5958B037",1,"5/4/21",34,98,1
"1230","L15_5","12/8/20","3D6.1D5958514B",116,17.4,1585,NA,7,"LC","jeff","3D6.1D5958514B","4/20/21",192,76.2,"Transitional",2,7,"JA",NA,0,NA,NA,NA,NA
"1232","L15_21","12/8/20","3D6.1D5958910E",103,12.1,1587,NA,7,"LC","jeff","3D6.1D5958910E","4/20/21",175,62.7,"Transitional",2,7,"AM",NA,0,NA,NA,NA,NA
"1234","L15_37","12/8/20","3D6.1D5959143B",86,7.2,1589,NA,7,"LC","jeff","3D6.1D5959143B","4/20/21",164,48.3,"Transitional",2,7,"JA","3D6.1D5959143B",1,"5/6/21",34,159,0
"1235","L15_45","12/8/20","3D6.1D5958AE13",96,9.5,1590,NA,7,"LC","jeff","3D6.1D5958AE13","4/20/21",168,54.4,"Transitional",2,7,"JA","3D6.1D5958AE13",1,"5/7/21",34,170,0
"1236","L15_53","12/8/20","3D6.1D5958B1BA",84,7.4,1591,NA,7,"LC","jeff","3D6.1D5958B1BA","4/20/21",159,48.9,"Transitional",2,7,"JA","3D6.1D5958B1BA",1,"5/5/21",35,160,1
"1238","L15_69","12/8/20","3D6.1D595931C5",87,7.3,1593,NA,7,"LC","jeff","3D6.1D595931C5","4/20/21",168,56.1,"Transitional",2,7,"AM",NA,0,NA,NA,NA,NA
"1239","L15_77","12/8/20","3D6.1D5958AD91",105,12.7,1594,NA,7,"LC","jeff","3D6.1D5958AD91","4/20/21",190,70.4,"Transitional",2,7,"AM",NA,0,NA,NA,NA,NA
"1241","L15_93","12/8/20","3D6.1D59591B7F",117,16.6,1596,NA,7,"LC","jeff","3D6.1D59591B7F","4/20/21",215,104.2,"Smolt",3,7,"JA",NA,0,NA,NA,NA,NA
"1243","L15_22","12/8/20","3D6.1D59586727",109,14.9,1599,NA,7,"LC","jeff","3D6.1D59586727","4/20/21",187,74.2,"Transitional",2,7,"AM","3D6.1D59586727",1,"5/12/21",35,193,0
"1244","L15_30","12/8/20","3D6.1D59586B0A",108,13.5,1600,NA,7,"LC","jeff","3D6.1D59586B0A","4/20/21",187,75.2,"Transitional",2,7,"JA","3D6.1D59586B0A",1,"5/7/21",35,183,0
