"","Distance","Rsquare","Number"
"1",100,0.302030174040058,4927
"2",200,0.0660593691535835,792
"3",300,0.0656699181803338,45
"4",400,0.0839909613742693,5
"5",500,0.109240733537834,6
"6",600,0.0569811658695007,7
"7",700,0.107080718898208,4
"8",800,0.00709171896356946,3
"9",900,0.130296045081074,4
"10",1000,NA,0
"11",1100,0.00335897192011711,3
"12",1200,0.0143695082778691,3
"13",1300,0.0288957284303615,3
"14",1400,0.0314220351063258,1
"15",1500,0.0198196850735938,2
"16",1600,0.0115729962594304,2
"17",1700,0.0024484236946669,4
"18",1800,0.0197584519602055,6
"19",1900,0.01847166949048,5
"20",2000,0.00600014984400883,3
"21",2100,NA,0
"22",2200,0.00973654051985052,4
"23",2300,0.0245704630289764,2
"24",2400,0.00361421025137973,3
"25",2500,0.0116141462848793,2
"26",2600,0.00435715487541668,1
"27",2700,0.00110851403092251,2
"28",2800,0.00259598402396371,1
"29",2900,0.0584080033973449,5
"30",3000,0.000784386548422607,1
"31",3100,0.00605653938039744,1
"32",3200,0.01972026306403,6
"33",3300,0.0428365138086015,5
"34",3400,0.0331920481411555,4
"35",3500,0.11019670041467,7
"36",3600,0.118713106594124,3
"37",3700,0.000306877154210339,2
"38",3800,0.000390292763289698,1
"39",3900,0.0574715810504847,3
"40",4000,0.0235518238334634,1
"41",4100,0.0210400076492047,7
"42",4200,0.0688746154603287,3
"43",4300,0.014922246201595,4
"44",4400,0.0083888742304269,4
"45",4500,0.0176660685710194,6
"46",4600,0.00133854976018142,3
"47",4700,0.0207579749027898,5
"48",4800,0.000745390727997666,2
"49",4900,0.106565555742378,6
"50",5000,0.00693224462212497,3
"51",5100,0.0140680446433224,7
"52",5200,0.136177209370333,3
"53",5300,0.0103055913544455,5
"54",5400,0.100329985029539,5
"55",5500,NA,0
"56",5600,0.0215630109120828,5
"57",5700,0.00864267850460624,9
"58",5800,0.10135714513444,5
"59",5900,0.0230592968929968,9
"60",6000,0.0190274599673206,5
"61",6100,0.0457722125380598,7
"62",6200,0.0369656209919825,5
"63",6300,0.0306150158485621,10
"64",6400,0.00839077857154905,4
"65",6500,0.00950556491780102,4
"66",6600,0.00385398283199609,3
"67",6700,0.0305818061612045,8
"68",6800,0.0137095054081215,8
"69",6900,0.0162937806913958,5
"70",7000,0.0115356778772912,6
"71",7100,0.00553287311062767,6
"72",7200,0.0498432917482158,8
"73",7300,0.0302166165927485,10
"74",7400,0.0272253123245577,7
"75",7500,0.0237431486670622,8
"76",7600,0.0228249750909093,4
"77",7700,0.00807620455283471,5
"78",7800,0.0319603319509721,6
"79",7900,0.00779848308596347,6
"80",8000,0.0543157480300773,6
"81",8100,0.00729112752819219,6
"82",8200,0.00578038781867409,3
"83",8300,0.0150445774910196,7
"84",8400,0.0428545339075288,5
"85",8500,0.0173755986915655,3
"86",8600,0.0420632202536879,3
"87",8700,0.0151673886095888,11
"88",8800,0.0795552587909412,5
"89",8900,0.0109024990298917,11
"90",9000,0.0123940755229117,8
"91",9100,0.0115665097619364,4
"92",9200,0.0224247506278584,13
"93",9300,0.0672687961253603,6
"94",9400,0.0281246501879281,4
"95",9500,0.00929291204109658,6
"96",9600,0.0406067723486164,6
"97",9700,0.0266707218919252,5
"98",9800,0.0204339707683016,10
"99",9900,0.0211657685223525,7
