sample_name,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,filename,filename2,filename3,filename4,assembly,fasta_file
L01_1,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_1.1.fq.gz,L01_1.2.fq.gz,,,,
L01_9,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_9.1.fq.gz,L01_9.2.fq.gz,,,,
L01_17,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_17.1.fq.gz,L01_17.2.fq.gz,,,,
L01_25,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_25.1.fq.gz,L01_25.2.fq.gz,,,,
L01_33,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_33.1.fq.gz,L01_33.2.fq.gz,,,,
L01_41,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_41.1.fq.gz,L01_41.2.fq.gz,,,,
L01_49,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_49.1.fq.gz,L01_49.2.fq.gz,,,,
L01_57,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_57.1.fq.gz,L01_57.2.fq.gz,,,,
L01_65,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_65.1.fq.gz,L01_65.2.fq.gz,,,,
L01_73,,RAD-Seq of O. Mykiss - Methow Valley,RAD-Seq,GENOMIC,Reduced Representation,paired,ILLUMINA,,,fastq,L01_73.1.fq.gz,L01_73.2.fq.gz,,,,
