Tag.Date,Tag_ID,Length,Weight,Fin_Clip_Number,Comment,Tank...7,Treatment,collector,Smolt.Assessment,SA.date,FL,WT,SI.text,SI.code,Tank...16,Tech,SWC.PIT,SWC.mort.14.day,Mort.Date,SWC.Tank,SWC.FL,X48.hr.SWC.mort
2020-12-07T00:00:00Z,3D6.1D5958B163,104,12.5,258,NA,9,EC,rob,3D6.1D5958B163,2021-04-22T00:00:00Z,166,54.7,Parr,1,9,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D594D7761,95,9.6,281,NA,8,EC,rob,3D6.1D594D7761,2021-04-22T00:00:00Z,153,38.9,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D594D78CF,111,13.8,1348,NA,8,EC,jeff,3D6.1D594D78CF,2021-04-22T00:00:00Z,168,53.5,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D595916B6,121,19.8,1351,NA,8,EC,jeff,3D6.1D595916B6,2021-04-22T00:00:00Z,183,65.2,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59588F96,79,5.5,309,NA,8,EC,rob,3D6.1D59588F96,2021-04-22T00:00:00Z,158,43.2,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D5958B386,106,13.3,1220,NA,9,EC,jeff,3D6.1D5958B386,2021-04-22T00:00:00Z,167,53,Parr,1,9,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D594D8070,107,13.6,315,NA,8,EC,rob,3D6.1D594D8070,2021-04-22T00:00:00Z,177,63.2,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59586B8A,94,8.9,1350,NA,8,EC,jeff,3D6.1D59586B8A,2021-04-22T00:00:00Z,152,41.5,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D5958B6CC,103,12.3,1277,NA,9,EC,jeff,3D6.1D5958B6CC,2021-04-22T00:00:00Z,169,55.8,Parr,1,9,AM,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D59591BC9,107,15.2,217,NA,9,EC,rob,3D6.1D59591BC9,2021-04-22T00:00:00Z,179,66.4,Parr,1,9,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59592C2A,106,11.3,324,NA,8,EC,rob,3D6.1D59592C2A,2021-04-22T00:00:00Z,162,47.4,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D5958A332,108,13.5,1223,NA,9,EC,jeff,3D6.1D5958A332,2021-04-22T00:00:00Z,186,78.9,Parr,1,9,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D5959260B,91,8.9,1426,NA,8,EC,jeff,3D6.1D5959260B,2021-04-22T00:00:00Z,154,45.1,Parr,1,8,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59593121,115,16,288,NA,8,EC,rob,3D6.1D59593121,2021-04-22T00:00:00Z,176,58.3,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D5958ABF6,113,16.7,359,NA,8,EC,rob,3D6.1D5958ABF6,2021-04-22T00:00:00Z,185,71.7,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D59585F80,106,11.1,1276,NA,9,EC,jeff,3D6.1D59585F80,2021-04-22T00:00:00Z,169,54.5,Parr,1,9,AM,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D59591581,120,17.5,1271,NA,9,EC,jeff,3D6.1D59591581,2021-04-22T00:00:00Z,175,61.9,Parr,1,9,JA,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D5958917A,104,14.2,244,NA,9,EC,rob,3D6.1D5958917A,2021-04-22T00:00:00Z,170,57.9,Parr,1,9,AM,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D5958A112,122,22.3,1218,NA,9,EC,jeff,3D6.1D5958A112,2021-04-22T00:00:00Z,196,83.7,Parr,1,9,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D5958A5CC,109,15.1,282,NA,8,EC,rob,3D6.1D5958A5CC,2021-04-22T00:00:00Z,174,55.5,Parr,1,8,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D5959137E,120,18.7,1373,NA,8,EC,jeff,3D6.1D5959137E,2021-04-22T00:00:00Z,188,77.7,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D595868F7,125,21.9,346,NA,8,EC,rob,3D6.1D595868F7,2021-04-22T00:00:00Z,187,75.2,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59587C71,123,20.9,1376,NA,8,EC,jeff,3D6.1D59587C71,2021-04-22T00:00:00Z,181,65.2,Parr,1,8,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D5958634F,133,24.5,1371,NA,8,EC,jeff,3D6.1D5958634F,2021-04-22T00:00:00Z,190,74.1,Parr,1,8,AM,NA,0,NA,NA,NA,0
2020-12-07T00:00:00Z,3D6.1D5958A59C,84,5.6,1295,NA,9,EC,jeff,3D6.1D5958A59C,2021-04-22T00:00:00Z,99,11.8,Parr,1,9,JA,3D6.1D5958A59C,1,2021-05-04T00:00:00Z,34,93,1
2020-12-08T00:00:00Z,3D6.1D5959023D,114,15.6,339,NA,8,EC,rob,3D6.1D5959023D,2021-04-22T00:00:00Z,171,57.1,Parr,1,8,AM,3D6.1D5959023D,1,2021-05-05T00:00:00Z,34,172,1
2020-12-08T00:00:00Z,3D6.1D59587140,88,9.1,323,NA,8,EC,rob,3D6.1D59587140,2021-04-22T00:00:00Z,147,37.4,Parr,1,8,AM,3D6.1D59587140,1,2021-05-06T00:00:00Z,34,151,0
2020-12-07T00:00:00Z,3D6.1D595911C2,80,6.2,1313,NA,9,EC,jeff,3D6.1D595911C2,2021-04-22T00:00:00Z,141,31.6,Parr,1,9,AM,3D6.1D595911C2,1,2021-05-04T00:00:00Z,35,144,1
2020-12-07T00:00:00Z,3D6.1D595884A5,100,11.8,1215,NA,9,EC,jeff,3D6.1D595884A5,2021-04-22T00:00:00Z,162,46.6,Parr,1,9,JA,3D6.1D595884A5,1,2021-05-05T00:00:00Z,34,162,1
2020-12-07T00:00:00Z,3D6.1D5958A8C3,98,11.6,1311,NA,9,EC,jeff,3D6.1D5958A8C3,2021-04-22T00:00:00Z,139,28.6,Parr,1,9,AM,3D6.1D5958A8C3,1,2021-05-05T00:00:00Z,35,139,1
