sample_name	bam	population
1188	/scratch2/awray/methowWGS/bams/1188.bam	EC
1190	/scratch2/awray/methowWGS/bams/1190.bam	EC
1192	/scratch2/awray/methowWGS/bams/1192.bam	EC
1200	/scratch2/awray/methowWGS/bams/1200.bam	EC
1206	/scratch2/awray/methowWGS/bams/1206.bam	EC
1213	/scratch2/awray/methowWGS/bams/1213.bam	EC
1215	/scratch2/awray/methowWGS/bams/1215.bam	EC
1216	/scratch2/awray/methowWGS/bams/1216.bam	EC
1218	/scratch2/awray/methowWGS/bams/1218.bam	EC
1220	/scratch2/awray/methowWGS/bams/1220.bam	EC
1223	/scratch2/awray/methowWGS/bams/1223.bam	EC
1226	/scratch2/awray/methowWGS/bams/1226.bam	EC
1229	/scratch2/awray/methowWGS/bams/1229.bam	EC
1232	/scratch2/awray/methowWGS/bams/1232.bam	EC
1235	/scratch2/awray/methowWGS/bams/1235.bam	EC
1241	/scratch2/awray/methowWGS/bams/1241.bam	EC
1248	/scratch2/awray/methowWGS/bams/1248.bam	EC
1251	/scratch2/awray/methowWGS/bams/1251.bam	EC
1253	/scratch2/awray/methowWGS/bams/1253.bam	EC
1255	/scratch2/awray/methowWGS/bams/1255.bam	EC
1258	/scratch2/awray/methowWGS/bams/1258.bam	EC
1267	/scratch2/awray/methowWGS/bams/1267.bam	EC
1271	/scratch2/awray/methowWGS/bams/1271.bam	EC
1274	/scratch2/awray/methowWGS/bams/1274.bam	EC
1276	/scratch2/awray/methowWGS/bams/1276.bam	EC
1277	/scratch2/awray/methowWGS/bams/1277.bam	EC
1279	/scratch2/awray/methowWGS/bams/1279.bam	EC
1282	/scratch2/awray/methowWGS/bams/1282.bam	EC
1286	/scratch2/awray/methowWGS/bams/1286.bam	EC
1293	/scratch2/awray/methowWGS/bams/1293.bam	EC
1295	/scratch2/awray/methowWGS/bams/1295.bam	EC
1298	/scratch2/awray/methowWGS/bams/1298.bam	EC
1304	/scratch2/awray/methowWGS/bams/1304.bam	EC
1311	/scratch2/awray/methowWGS/bams/1311.bam	EC
1313	/scratch2/awray/methowWGS/bams/1313.bam	EC
1314	/scratch2/awray/methowWGS/bams/1314.bam	EC
1319	/scratch2/awray/methowWGS/bams/1319.bam	EC
1322	/scratch2/awray/methowWGS/bams/1322.bam	EC
1323	/scratch2/awray/methowWGS/bams/1323.bam	EC
1324	/scratch2/awray/methowWGS/bams/1324.bam	EC
1326	/scratch2/awray/methowWGS/bams/1326.bam	EC
1330	/scratch2/awray/methowWGS/bams/1330.bam	EC
1333	/scratch2/awray/methowWGS/bams/1333.bam	EC
1337	/scratch2/awray/methowWGS/bams/1337.bam	EC
1341	/scratch2/awray/methowWGS/bams/1341.bam	EC
1346	/scratch2/awray/methowWGS/bams/1346.bam	EC
1348	/scratch2/awray/methowWGS/bams/1348.bam	EC
1350	/scratch2/awray/methowWGS/bams/1350.bam	EC
1351	/scratch2/awray/methowWGS/bams/1351.bam	EC
1353	/scratch2/awray/methowWGS/bams/1353.bam	EC
1358	/scratch2/awray/methowWGS/bams/1358.bam	EC
1361	/scratch2/awray/methowWGS/bams/1361.bam	EC
1367	/scratch2/awray/methowWGS/bams/1367.bam	EC
1368	/scratch2/awray/methowWGS/bams/1368.bam	EC
1371	/scratch2/awray/methowWGS/bams/1371.bam	EC
1372	/scratch2/awray/methowWGS/bams/1372.bam	EC
1373	/scratch2/awray/methowWGS/bams/1373.bam	EC
1375	/scratch2/awray/methowWGS/bams/1375.bam	EC
1376	/scratch2/awray/methowWGS/bams/1376.bam	EC
1377	/scratch2/awray/methowWGS/bams/1377.bam	EC
1378	/scratch2/awray/methowWGS/bams/1378.bam	EC
1381	/scratch2/awray/methowWGS/bams/1381.bam	EC
1382	/scratch2/awray/methowWGS/bams/1382.bam	EC
1384	/scratch2/awray/methowWGS/bams/1384.bam	EC
1385	/scratch2/awray/methowWGS/bams/1385.bam	EC
1386	/scratch2/awray/methowWGS/bams/1386.bam	EC
1387	/scratch2/awray/methowWGS/bams/1387.bam	EC
1389	/scratch2/awray/methowWGS/bams/1389.bam	EC
1395	/scratch2/awray/methowWGS/bams/1395.bam	EC
1398	/scratch2/awray/methowWGS/bams/1398.bam	EC
1403	/scratch2/awray/methowWGS/bams/1403.bam	EC
1406	/scratch2/awray/methowWGS/bams/1406.bam	EC
1411	/scratch2/awray/methowWGS/bams/1411.bam	EC
1415	/scratch2/awray/methowWGS/bams/1415.bam	EC
1417	/scratch2/awray/methowWGS/bams/1417.bam	EC
1423	/scratch2/awray/methowWGS/bams/1423.bam	EC
1424	/scratch2/awray/methowWGS/bams/1424.bam	EC
1426	/scratch2/awray/methowWGS/bams/1426.bam	EC
1429	/scratch2/awray/methowWGS/bams/1429.bam	LC
1431	/scratch2/awray/methowWGS/bams/1431.bam	LC
1437	/scratch2/awray/methowWGS/bams/1437.bam	LC
1439	/scratch2/awray/methowWGS/bams/1439.bam	LC
1441	/scratch2/awray/methowWGS/bams/1441.bam	LC
1442	/scratch2/awray/methowWGS/bams/1442.bam	LC
1443	/scratch2/awray/methowWGS/bams/1443.bam	LC
1444	/scratch2/awray/methowWGS/bams/1444.bam	LC
1446	/scratch2/awray/methowWGS/bams/1446.bam	LC
1447	/scratch2/awray/methowWGS/bams/1447.bam	LC
1451	/scratch2/awray/methowWGS/bams/1451.bam	LC
1459	/scratch2/awray/methowWGS/bams/1459.bam	LC
1462	/scratch2/awray/methowWGS/bams/1462.bam	LC
1466	/scratch2/awray/methowWGS/bams/1466.bam	LC
1469	/scratch2/awray/methowWGS/bams/1469.bam	LC
1474	/scratch2/awray/methowWGS/bams/1474.bam	LC
1477	/scratch2/awray/methowWGS/bams/1477.bam	LC
1478	/scratch2/awray/methowWGS/bams/1478.bam	LC
1479	/scratch2/awray/methowWGS/bams/1479.bam	LC
1481	/scratch2/awray/methowWGS/bams/1481.bam	LC
1482	/scratch2/awray/methowWGS/bams/1482.bam	LC
1484	/scratch2/awray/methowWGS/bams/1484.bam	LC
1501	/scratch2/awray/methowWGS/bams/1501.bam	LC
1504	/scratch2/awray/methowWGS/bams/1504.bam	LC
1505	/scratch2/awray/methowWGS/bams/1505.bam	LC
1506	/scratch2/awray/methowWGS/bams/1506.bam	LC
1507	/scratch2/awray/methowWGS/bams/1507.bam	LC
1510	/scratch2/awray/methowWGS/bams/1510.bam	LC
1514	/scratch2/awray/methowWGS/bams/1514.bam	LC
1522	/scratch2/awray/methowWGS/bams/1522.bam	LC
1523	/scratch2/awray/methowWGS/bams/1523.bam	LC
1525	/scratch2/awray/methowWGS/bams/1525.bam	LC
1527	/scratch2/awray/methowWGS/bams/1527.bam	LC
1532	/scratch2/awray/methowWGS/bams/1532.bam	LC
1536	/scratch2/awray/methowWGS/bams/1536.bam	LC
1538	/scratch2/awray/methowWGS/bams/1538.bam	LC
1539	/scratch2/awray/methowWGS/bams/1539.bam	LC
1541	/scratch2/awray/methowWGS/bams/1541.bam	LC
